timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445063.882,-237.793,-58.105,-38.086,-259.766,0.000,0
1641445063.887,-34.180,-1.465,46.387,-44.434,0.000,0
1641445063.891,58.594,22.949,83.496,51.758,0.000,0
1641445063.895,-169.922,-47.852,-1.465,-177.734,0.000,0
1641445063.900,-257.812,-92.285,-22.949,-268.066,0.000,0
1641445063.904,-82.520,-54.199,23.438,-96.191,0.000,0
1641445063.908,78.125,-2.930,67.383,74.219,0.000,0
1641445063.912,-87.402,-57.129,10.742,-86.914,0.000,0
1641445063.917,-246.094,-88.379,-33.691,-252.441,0.000,0
1641445063.921,-136.719,-46.875,-20.996,-161.133,0.000,0
1641445063.925,77.148,4.883,45.410,54.199,0.000,0
1641445063.930,-18.066,-16.113,36.621,-20.508,0.000,0
1641445063.919,-235.352,-74.707,-34.668,-239.746,0.000,0
1641445063.923,-186.523,-74.707,-14.160,-215.332,0.000,0
1641445063.928,30.273,-19.531,60.547,9.766,0.000,0
1641445063.932,27.832,-11.230,67.871,34.180,0.000,0
1641445063.936,-199.707,-71.777,-20.996,-204.102,0.000,0
1641445063.940,-228.027,-87.891,-27.832,-248.047,0.000,0
1641445063.944,-30.762,-47.363,32.715,-45.410,0.000,0
1641445063.949,81.055,-13.184,73.730,83.008,0.000,0
1641445063.953,-125.977,-54.199,23.438,-140.137,0.000,0
1641445063.957,-236.328,-93.750,-22.461,-259.277,0.000,0
1641445063.961,-86.914,-62.012,15.137,-108.398,0.000,0
1641445063.966,93.262,-3.906,80.078,78.125,0.000,0
1641445063.956,-61.523,-43.457,47.363,-52.734,0.000,0
1641445063.960,-248.535,-97.656,-29.297,-244.141,0.000,0
1641445063.965,-126.953,-60.547,-8.789,-152.832,0.000,0
1641445063.969,90.332,-2.441,81.055,79.590,0.000,0
1641445063.973,-7.812,-28.320,62.012,1.953,0.000,0
1641445063.977,-220.215,-81.543,-16.113,-226.562,0.000,0
1641445063.981,-186.035,-82.520,-22.949,-207.520,0.000,0
1641445063.985,25.879,-19.531,50.293,6.836,0.000,0
1641445063.990,49.316,5.859,86.914,62.988,0.000,0
1641445063.994,-178.711,-62.988,15.625,-162.598,0.000,0
1641445063.998,-221.191,-88.379,-16.113,-231.445,0.000,0
