timestamps,TP9,AF7,AF8,TP10,Right AUX
1637814693.340,118.164,-83.008,-487.793,-269.531,0.000,0
1637814693.344,-955.078,-974.121,363.770,-1000.000,0.000,0
1637814693.333,-946.289,-932.129,549.805,-1000.000,0.000,0
1637814693.338,237.793,231.445,-296.387,-163.574,0.000,0
1637814693.342,-1000.000,-1000.000,-1000.000,-817.383,0.000,0
1637814693.346,-130.859,-203.613,-636.230,-48.340,0.000,0
1637814693.350,-979.004,-997.070,262.695,-1000.000,0.000,0
1637814693.355,-929.199,-917.969,627.930,-1000.000,0.000,0
1637814693.359,228.027,222.656,-146.484,-271.484,0.000,0
1637814693.363,-1000.000,-1000.000,-1000.000,-825.684,0.000,0
1637814693.367,-203.613,-198.242,-771.484,170.410,0.000,0
1637814693.371,-997.559,997.070,123.535,-1000.000,0.000,0
1637814693.376,-918.457,-922.363,647.461,-1000.000,0.000,0
1637814693.380,222.656,333.008,-104.004,-255.859,0.000,0
1637814693.372,-1000.000,-1000.000,-1000.000,-830.078,0.000,0
1637814693.376,-194.336,-305.664,-797.363,165.039,0.000,0
1637814693.380,992.188,964.355,57.129,-1000.000,0.000,0
1637814693.384,-925.293,-926.758,629.395,-1000.000,0.000,0
1637814693.389,424.805,524.414,-9.766,-355.469,0.000,0
1637814693.393,-1000.000,-1000.000,-1000.000,-863.281,0.000,0
1637814693.397,-321.289,-501.953,-850.098,173.828,0.000,0
1637814693.401,972.168,916.992,-11.230,-1000.000,0.000,0
1637814693.405,-940.430,-952.148,615.234,-1000.000,0.000,0
1637814693.409,603.516,743.164,140.625,-555.176,0.000,0
1637814693.414,-1000.000,-796.387,-921.875,-955.078,0.000,0
1637814693.418,-549.805,-750.977,-937.988,403.320,0.000,0
1637814693.411,916.992,794.922,-113.770,-980.957,0.000,0
1637814693.415,-979.004,-979.004,601.562,-1000.000,0.000,0
1637814693.419,850.586,950.684,267.578,-768.555,0.000,0
1637814693.423,-666.992,-412.109,-785.156,813.477,0.000,0
1637814693.427,-781.250,-969.238,-957.031,636.719,0.000,0
1637814693.431,833.984,613.281,-169.434,-914.062,0.000,0
1637814693.435,-1000.000,-973.633,529.785,-1000.000,0.000,0
1637814693.440,-984.375,-974.121,403.320,-970.703,0.000,0
1637814693.444,-221.680,-70.801,-584.473,406.250,0.000,0
1637814693.448,-1000.000,-1000.000,-1000.000,951.172,0.000,0
1637814693.452,419.922,207.520,-335.938,-623.535,0.000,0
1637814693.456,-955.566,-949.219,452.148,-1000.000,0.000,0
1637814693.450,-962.402,-952.148,516.113,-1000.000,0.000,0
1637814693.454,20.020,142.090,-397.949,61.523,0.000,0
1637814693.458,-1000.000,-1000.000,-1000.000,-842.773,0.000,0
1637814693.462,140.137,-13.184,-479.980,-291.504,0.000,0
1637814693.466,-953.125,-963.379,365.723,-1000.000,0.000,1
1637814693.470,-943.848,-937.988,584.473,-1000.000,0.000,0
1637814693.475,232.422,234.375,-255.859,-160.645,0.000,0
1637814693.479,-1000.000,-1000.000,-1000.000,-823.242,0.000,0
1637814693.483,-60.547,-180.176,-490.723,-77.148,0.000,0
1637814693.487,-962.891,-990.723,406.738,-1000.000,0.000,0
1637814693.491,-938.477,-921.387,615.234,-1000.000,0.000,0
1637814693.495,233.398,224.609,-182.617,-270.508,0.000,0
1637814693.490,-1000.000,-1000.000,-1000.000,-827.637,0.000,0
1637814693.494,-203.613,-197.754,-697.266,135.254,0.000,0
1637814693.498,-997.559,996.094,196.777,-1000.000,0.000,0
1637814693.502,-918.457,-918.945,649.414,-1000.000,0.000,0
1637814693.506,222.656,340.820,-87.891,-258.789,0.000,0
1637814693.510,-1000.000,-1000.000,-1000.000,-829.102,0.000,0
1637814693.514,-194.824,-229.492,-782.227,165.527,0.000,0
1637814693.518,992.676,994.141,117.676,-1000.000,0.000,0
1637814693.522,-921.875,-937.012,669.434,-1000.000,0.000,0
1637814693.526,409.180,525.879,-15.625,-345.215,0.000,0
1637814693.530,-1000.000,-1000.000,-1000.000,-860.352,0.000,0
1637814693.534,-267.578,-431.641,-821.777,172.852,0.000,0
1637814693.530,989.258,948.730,24.414,-1000.000,0.000,0
1637814693.534,-942.871,-956.055,619.141,-1000.000,0.000,0
1637814693.538,571.289,714.844,79.590,-528.809,0.000,0
1637814693.542,-1000.000,-855.469,-991.699,-940.430,0.000,0
1637814693.546,-510.254,-682.129,-906.738,323.242,0.000,0
1637814693.550,921.875,846.680,-64.453,-1000.000,0.000,0
1637814693.554,-957.520,-971.680,579.102,-1000.000,0.000,0
1637814693.558,757.324,891.602,280.273,-711.914,0.000,0
1637814693.562,-780.273,-502.930,-727.539,894.043,0.000,0
1637814693.566,-768.066,-979.980,-989.746,540.527,0.000,0
1637814693.570,784.180,572.266,-245.117,-954.590,0.000,0
1637814693.574,-973.633,-964.355,507.812,-1000.000,0.000,0
1637814693.570,940.430,-988.770,343.262,-916.992,0.000,0
1637814693.574,-396.484,-144.043,-651.367,552.734,0.000,0
1637814693.578,-1000.000,-1000.000,-1000.000,811.523,0.000,0
1637814693.582,503.418,252.930,-371.094,-780.273,0.000,0
1637814693.586,-960.938,-947.754,413.574,-1000.000,0.000,0
1637814693.590,-974.609,-957.520,472.168,-1000.000,0.000,0
1637814693.594,-76.660,82.031,-469.238,181.641,0.000,0
1637814693.598,-1000.000,-1000.000,-1000.000,-923.340,0.000,0
1637814693.602,208.008,31.250,-444.824,-453.125,0.000,0
1637814693.606,-946.777,-960.938,378.418,-1000.000,0.000,0
1637814693.610,-952.637,-941.406,566.895,-1000.000,0.000,0
1637814693.614,132.324,228.027,-298.828,-55.176,0.000,0
1637814693.610,-1000.000,-1000.000,-1000.000,-817.383,0.000,0
1637814693.614,-2.930,-172.852,-593.750,-163.574,0.000,0
1637814693.618,-962.402,-989.746,328.125,-1000.000,0.000,0
1637814693.622,-940.918,-921.875,629.883,-1000.000,0.000,0
1637814693.626,236.328,225.098,-208.496,-269.531,0.000,0
1637814693.630,-1000.000,-1000.000,-1000.000,-831.543,0.000,0
1637814693.634,-203.613,-201.172,-598.633,68.848,0.000,0
1637814693.638,-997.559,999.512,334.473,-1000.000,0.000,0
1637814693.642,-918.457,-917.969,618.652,-1000.000,0.000,0
1637814693.646,222.656,271.973,-129.395,-263.672,0.000,0
1637814693.650,-1000.000,-1000.000,-1000.000,-827.637,0.000,0
1637814693.654,-198.730,-224.121,-781.738,170.410,0.000,0
1637814693.651,996.094,988.770,88.379,-1000.000,0.000,0
1637814693.655,-916.504,-928.223,652.344,-1000.000,0.000,0
1637814693.659,321.777,449.707,-18.066,-255.859,0.000,0
1637814693.663,-1000.000,-1000.000,-1000.000,-830.078,0.000,0
1637814693.667,-207.031,-413.086,-834.473,160.645,0.000,0
1637814693.671,998.047,938.965,29.785,-1000.000,0.000,0
1637814693.675,-939.453,-935.547,670.898,-1000.000,0.000,0
1637814693.679,521.484,631.836,52.246,-458.496,0.000,0
1637814693.683,-1000.000,-948.730,-1000.000,-903.320,0.000,0
1637814693.687,-436.523,-641.602,-870.117,288.086,0.000,0
1637814693.691,947.266,856.445,-39.551,-1000.000,0.000,0
1637814693.695,-959.473,-964.844,591.309,-1000.000,0.000,0
1637814693.693,734.863,854.980,189.453,-637.695,0.000,0
1637814693.697,-846.680,-589.355,-853.516,978.516,0.000,0
1637814693.701,-669.922,-904.785,-962.891,516.602,0.000,0
1637814693.705,880.371,661.621,-193.848,-951.172,0.000,0
1637814693.709,-990.234,-974.121,535.645,-1000.000,0.000,0
1637814693.713,937.012,-996.582,354.004,-876.953,0.000,0
1637814693.717,-439.453,-198.730,-652.832,615.234,0.000,0
1637814693.721,-984.375,-1000.000,-1000.000,804.199,0.000,0
1637814693.725,589.844,341.309,-321.777,-779.785,0.000,0
1637814693.729,-971.191,-949.707,505.371,-1000.000,0.000,0
1637814693.733,-975.098,-962.402,487.305,-1000.000,0.000,0
1637814693.737,-90.820,44.922,-506.348,190.430,0.000,0
1637814693.736,-1000.000,-1000.000,-1000.000,-922.363,0.000,0
1637814693.740,235.840,81.055,-407.227,-453.613,0.000,0
1637814693.743,-947.754,-957.031,409.180,-1000.000,0.000,0
1637814693.747,-946.777,-938.477,526.855,-1000.000,0.000,0
1637814693.751,111.328,193.848,-367.676,-36.621,0.000,0
1637814693.755,-1000.000,-1000.000,-1000.000,-874.023,0.000,0
1637814693.759,102.539,-57.129,-494.629,-251.465,0.000,0
1637814693.763,-970.215,-996.094,346.680,-1000.000,0.000,0
1637814693.767,-943.359,-924.805,614.258,-1000.000,0.000,0
1637814693.771,239.746,229.492,-185.547,-271.973,0.000,0
1637814693.775,-1000.000,-1000.000,-1000.000,-831.543,0.000,0
1637814693.779,-203.613,-202.637,-689.453,68.848,0.000,0
1637814693.778,-997.559,-998.047,232.422,-1000.000,0.000,0
1637814693.782,-918.457,-917.969,639.648,-1000.000,0.000,0
1637814693.786,222.656,239.258,-163.574,-263.672,0.000,0
1637814693.790,-1000.000,-1000.000,-1000.000,-827.637,0.000,0
1637814693.794,-199.707,-197.266,-726.562,170.410,0.000,0
1637814693.798,997.559,995.117,173.340,-1000.000,0.000,0
1637814693.802,-916.992,-926.270,641.113,-1000.000,0.000,0
1637814693.806,297.363,413.574,-62.012,-255.859,0.000,0
1637814693.809,-1000.000,-1000.000,-1000.000,-829.590,0.000,0
1637814693.813,-203.613,-345.215,-817.383,160.645,0.000,0
1637814693.817,996.582,961.914,36.621,-1000.000,0.000,0
1637814693.821,-936.035,-938.965,653.320,-1000.000,0.000,0
1637814693.821,506.348,610.840,40.039,-456.055,0.000,0
1637814693.825,-1000.000,-985.352,-1000.000,-911.133,0.000,0
1637814693.829,-419.434,-567.871,-888.672,277.344,0.000,0
1637814693.832,991.211,920.410,16.602,-1000.000,0.000,0
1637814693.836,956.543,-998.535,527.832,-944.336,0.000,0
1637814693.840,458.496,673.828,-13.184,-350.586,0.000,0
1637814693.844,-939.453,-735.840,-880.859,968.262,0.000,0
1637814693.848,-616.211,-828.613,-921.875,473.633,0.000,0
1637814693.852,887.207,719.238,-65.430,-955.566,0.000,0
1637814693.856,-986.328,-979.980,584.473,-1000.000,0.000,0
1637814693.860,900.879,986.816,299.805,-856.445,0.000,0
1637814693.864,-516.113,-263.672,-703.613,671.387,0.000,0
1637814693.864,-937.012,-1000.000,-1000.000,718.750,0.000,0
