timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1634634570.148,-960.449,886.230,65.918,-695.312,0.000,0
1634634570.152,990.723,-883.789,453.613,-1000.000,0.000,0
1634634570.147,846.680,211.426,-8.789,5.859,0.000,0
1634634570.151,-729.980,-1000.000,-963.867,-912.598,0.000,0
1634634570.155,-316.406,-684.570,-845.703,897.461,0.000,0
1634634570.159,-930.176,692.871,-41.016,-353.027,0.000,0
1634634570.163,929.688,-835.938,439.453,-1000.000,0.000,0
1634634570.167,-967.285,336.914,70.801,-166.016,0.000,0
1634634570.171,-446.289,-1000.000,-799.805,-998.047,0.000,0
1634634570.175,-544.922,-942.871,-931.152,-953.125,0.000,0
1634634570.180,-992.188,379.883,-116.699,-83.008,0.000,0
1634634570.184,933.105,-804.199,393.066,-1000.000,0.000,0
1634634570.188,-903.320,490.234,52.246,-172.363,0.000,0
1634634570.192,-224.609,-875.977,-678.223,990.234,0.000,0
1634634570.188,-728.027,-1000.000,-1000.000,-920.898,0.000,0
1634634570.192,906.250,117.676,-258.301,111.328,0.000,0
1634634570.196,958.008,-850.586,378.906,-1000.000,0.000,0
1634634570.200,-906.250,733.398,140.625,-187.988,0.000,0
1634634570.204,49.316,-590.820,-494.629,994.629,0.000,0
1634634570.208,-959.961,-1000.000,-1000.000,-922.852,0.000,0
1634634570.212,574.219,-42.480,-291.016,230.957,0.000,0
1634634570.216,-976.074,-942.383,472.168,-1000.000,0.000,0
1634634570.220,-938.965,962.402,238.281,-354.004,0.000,0
1634634570.224,215.332,-247.559,-406.250,947.266,0.000,0
1634634570.228,-1000.000,-1000.000,-1000.000,-906.250,0.000,0
1634634570.232,204.102,-171.875,-347.168,222.656,0.000,0
1634634570.228,-932.617,997.070,373.047,-1000.000,0.000,0
1634634570.232,-952.148,-941.406,229.980,-520.996,0.000,0
1634634570.236,231.445,-29.785,-276.855,856.934,0.000,0
1634634570.240,-1000.000,-1000.000,-1000.000,-874.023,0.000,0
1634634570.244,5.371,-174.316,-525.879,234.863,0.000,0
1634634570.248,-958.008,988.770,248.535,-1000.000,0.000,0
1634634570.252,-943.848,-918.457,315.430,-732.910,0.000,0
1634634570.256,336.914,169.922,-144.043,642.090,0.000,0
1634634570.260,-1000.000,-1000.000,-1000.000,-828.125,0.000,0
1634634570.264,-207.031,-228.027,-679.199,360.352,0.000,0
1634634570.268,998.047,987.793,150.879,-999.512,0.000,0
1634634570.272,-930.176,-921.387,397.461,-975.586,0.000,0
1634634570.269,511.230,230.957,-121.094,337.891,0.000,0
1634634570.273,-1000.000,-1000.000,-1000.000,-803.223,0.000,0
1634634570.277,-240.723,-420.410,-728.027,517.090,0.000,0
1634634570.281,-977.051,916.504,84.473,-853.027,0.000,0
1634634570.285,-977.539,-895.508,425.781,-1000.000,0.000,0
1634634570.289,738.770,216.309,-61.523,89.355,0.000,0
1634634570.293,-871.582,-1000.000,-994.629,-866.211,0.000,0
1634634570.297,-292.969,-588.379,-774.902,779.785,0.000,0
1634634570.301,-939.453,801.270,-3.906,-527.344,0.000,0
1634634570.305,944.824,-856.934,444.824,-1000.000,0.000,0
1634634570.309,984.375,301.270,46.387,-79.102,0.000,0
1634634570.313,-535.156,-1000.000,-857.422,-963.379,0.000,0
1634634570.310,-498.047,-852.051,-916.504,-993.164,0.000,0
1634634570.314,-972.656,504.395,-111.816,-177.246,0.000,0
1634634570.318,923.828,-813.477,428.711,-1000.000,0.000,0
1634634570.322,-899.902,441.406,66.406,-169.922,0.000,0
1634634570.326,-234.863,-917.480,-721.191,993.652,0.000,0
1634634570.330,-665.527,-1000.000,-1000.000,-932.129,0.000,0
1634634570.334,946.289,185.059,-178.223,19.043,0.000,0
1634634570.338,942.871,-823.730,412.598,-1000.000,0.000,0
1634634570.342,-890.137,645.996,76.660,-176.270,0.000,0
1634634570.346,13.672,-701.172,-583.496,987.793,0.000,0
1634634570.350,-834.473,-1000.000,-1000.000,-918.457,0.000,0
1634634570.354,737.793,16.602,-285.645,229.004,0.000,0
1634634570.352,995.605,-906.738,375.488,-1000.000,0.000,0
1634634570.355,-921.875,883.301,141.113,-303.223,0.000,0
1634634570.359,184.082,-370.605,-434.082,969.238,0.000,0
1634634570.363,-1000.000,-1000.000,-1000.000,-914.551,0.000,0
1634634570.367,386.230,-156.738,-328.125,227.051,0.000,0
1634634570.371,-946.289,-991.699,410.645,-1000.000,0.000,0
1634634570.375,-949.219,-960.449,216.797,-488.770,0.000,0
1634634570.379,225.586,-105.469,-343.750,880.859,0.000,0
1634634570.383,-1000.000,-1000.000,-1000.000,-881.836,0.000,0
1634634570.387,104.004,-171.875,-392.578,203.613,0.000,0
1634634570.391,-939.941,991.699,340.820,-1000.000,0.000,0
1634634570.395,-950.195,-923.828,261.230,-692.383,0.000,0
1634634570.394,261.719,86.426,-214.844,680.664,0.000,0
1634634570.398,-1000.000,-1000.000,-1000.000,-833.984,0.000,0
1634634570.402,-97.168,-184.570,-631.348,363.281,0.000,0
1634634570.406,-979.004,992.676,157.715,-1000.000,0.000,0
1634634570.410,-935.059,-922.363,364.258,-960.938,0.000,0
1634634570.414,426.270,231.445,-117.188,361.328,0.000,0
1634634570.418,-1000.000,-1000.000,-1000.000,-805.664,0.000,0
1634634570.422,-222.168,-362.793,-714.355,507.812,0.000,0
1634634570.426,-993.652,943.359,130.371,-866.211,0.000,0
1634634570.430,-943.359,-905.273,476.562,-1000.000,0.000,0
1634634570.433,599.609,222.168,-80.078,125.977,0.000,0
1634634570.437,-1000.000,-1000.000,-1000.000,-856.934,0.000,0
1634634570.437,-260.742,-536.133,-766.602,757.324,0.000,0
1634634570.441,-958.496,846.191,50.781,-563.477,0.000,0
1634634570.445,980.957,-869.629,432.129,-1000.000,0.000,0
1634634570.449,870.117,246.582,-31.738,-14.648,0.000,0
1634634570.453,-709.961,-1000.000,-940.918,-939.453,0.000,0
1634634570.457,-420.898,-771.973,-861.816,966.797,0.000,0
1634634570.461,-956.543,592.773,-67.383,-231.445,0.000,0
1634634570.464,924.316,-822.754,401.367,-1000.000,0.000,0
1634634570.468,-922.852,397.949,149.902,-173.828,0.000,0
1634634570.472,-341.309,-965.332,-641.602,-999.512,0.000,0
1634634570.476,-645.996,-1000.000,-986.328,-945.801,0.000,0
1634634570.480,964.355,280.762,-167.969,-51.758,0.000,0
1634634570.480,942.383,-812.500,419.434,-1000.000,0.000,0
1634634570.484,-901.367,571.289,79.590,-174.805,0.000,0
1634634570.488,-89.355,-791.504,-634.766,989.258,0.000,0
1634634570.492,-854.492,-1000.000,-1000.000,-912.598,0.000,0
1634634570.496,750.488,67.871,-282.715,103.027,0.000,0
1634634570.500,988.281,-879.395,335.449,-1000.000,0.000,0
1634634570.503,-919.922,814.453,133.301,-101.074,0.000,0
1634634570.507,184.082,-474.609,-481.445,984.375,0.000,0
1634634570.511,-1000.000,-1000.000,-1000.000,-924.805,0.000,0
1634634570.515,386.230,-95.703,-292.969,235.352,0.000,0
1634634570.519,-946.777,-968.750,401.367,-1000.000,0.000,0
1634634570.523,-947.266,-988.281,188.477,-399.414,0.000,0
1634634570.523,222.168,-156.738,-353.516,927.246,0.000,0
1634634570.527,-1000.000,-1000.000,-1000.000,-899.902,0.000,0
1634634570.531,118.164,-171.875,-427.246,219.238,0.000,0
1634634570.535,-918.945,994.629,341.309,-1000.000,0.000,2
1634634570.539,994.629,-931.641,253.418,-575.684,0.000,0
1634634570.543,144.531,32.715,-280.273,816.406,0.000,0
1634634570.546,-1000.000,-1000.000,-1000.000,-858.887,0.000,0
1634634570.550,-45.898,-179.199,-509.277,283.691,0.000,0
1634634570.554,-974.609,990.234,271.973,-1000.000,0.000,0
1634634570.558,-940.430,-919.922,316.895,-848.145,0.000,0
1634634570.562,429.688,210.449,-164.062,503.418,0.000,0
1634634570.566,-1000.000,-1000.000,-1000.000,-811.523,0.000,0
1634634570.566,-222.168,-291.992,-684.570,436.523,0.000,0
1634634570.570,-994.141,970.703,132.812,-918.945,0.000,0
1634634570.574,-942.871,-915.039,430.664,-1000.000,0.000,0
1634634570.578,595.215,227.539,-71.289,172.363,0.000,0
1634634570.582,-1000.000,-1000.000,-1000.000,-823.730,0.000,0
1634634570.586,-259.766,-479.980,-746.582,652.832,0.000,0
1634634570.590,-961.914,885.254,95.215,-695.312,0.000,0
1634634570.593,995.117,-883.301,479.492,-1000.000,0.000,0
1634634570.597,832.031,209.473,-39.551,6.348,0.000,0
1634634570.601,-749.512,-1000.000,-998.047,-912.598,0.000,0
