timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1639024061.338,934.082,189.941,-13.672,56.641,0.000,0
1639024061.342,829.102,81.055,-14.160,117.188,0.000,0
1639024061.346,-331.055,-0.977,-7.324,8.301,0.000,0
1639024061.351,-1000.000,-114.746,0.488,-118.652,0.000,0
1639024061.355,-522.949,-196.289,1.953,-93.262,0.000,0
1639024061.359,746.582,-405.273,0.977,38.086,0.000,0
1639024061.364,961.914,-339.844,-8.789,92.285,0.000,0
1639024061.368,-193.359,180.664,-15.625,-17.578,0.000,0
1639024061.372,-1000.000,-50.781,-4.395,-126.953,0.000,0
1639024061.376,-614.258,-291.992,-16.602,-108.398,0.000,0
1639024061.381,605.957,131.836,-28.809,3.906,0.000,0
1639024061.370,-937.500,539.062,-13.672,94.727,0.000,0
1639024061.374,49.316,253.418,9.277,51.758,0.000,0
1639024061.378,-1000.000,-280.273,-20.508,-100.586,0.000,0
1639024061.382,-681.641,-267.578,-20.508,-132.324,0.000,0
1639024061.387,536.621,-34.180,11.230,-16.602,0.000,0
1639024061.391,-905.762,65.430,-18.066,62.500,0.000,0
1639024061.395,162.598,-512.207,-25.879,31.738,0.000,0
1639024061.399,-1000.000,-719.727,-36.133,-104.004,0.000,0
1639024061.404,-762.207,-224.609,-42.480,-164.062,0.000,0
1639024061.408,429.199,-87.891,-2.930,-43.945,0.000,0
1639024061.412,-894.043,127.441,10.742,80.566,0.000,0
1639024061.416,456.543,330.078,-12.695,38.086,0.000,0
1639024061.408,-825.684,30.762,-34.668,-96.191,0.000,0
1639024061.412,-882.812,-444.824,-26.855,-144.531,0.000,0
1639024061.416,334.961,-192.383,-40.527,-57.129,0.000,0
1639024061.421,-893.555,477.051,-42.480,45.410,0.000,0
1639024061.425,562.012,438.477,-16.602,9.277,0.000,0
1639024061.429,-692.871,-433.105,-6.836,-95.703,0.000,0
1639024061.433,-986.328,-867.676,-30.762,-134.277,0.000,0
1639024061.437,185.547,-333.984,-59.082,-68.848,0.000,0
1639024061.442,-914.062,226.074,-45.410,37.598,0.000,0
1639024061.446,654.297,-62.012,-13.672,47.363,0.000,0
1639024061.450,-533.691,-393.066,-4.883,-60.059,0.000,0
1639024061.454,-1000.000,-213.867,-29.785,-158.203,0.000,0
1639024061.447,56.641,-109.375,-52.246,-113.770,0.000,0
1639024061.451,-945.312,96.680,-48.828,9.766,0.000,0
1639024061.455,810.547,269.043,-32.715,39.551,0.000,0
1639024061.459,-310.547,124.023,-22.461,-49.805,0.000,0
1639024061.463,-1000.000,-364.746,-28.320,-134.766,0.000,0
1639024061.468,-111.816,-589.355,-47.363,-113.281,0.000,0
1639024061.472,981.445,-212.402,-47.363,-7.812,0.000,0
1639024061.476,898.926,-8.301,-47.852,51.270,0.000,0
1639024061.480,-169.434,-356.445,-35.645,-21.484,0.000,0
1639024061.484,-1000.000,-895.996,-13.184,-113.770,0.000,0
1639024061.488,-287.109,-668.945,-15.625,-118.164,0.000,0
1639024061.492,924.316,116.699,-25.879,-26.367,0.000,0
1639024061.486,980.957,172.852,-47.363,45.898,0.000,0
1639024061.490,26.367,-115.234,-60.059,-14.648,0.000,0
1639024061.494,-1000.000,-185.547,-41.504,-124.512,0.000,0
1639024061.498,-426.270,-168.945,-22.949,-118.164,0.000,1
1639024061.502,825.684,-90.332,-25.391,1.465,0.000,0
1639024061.506,-954.590,-162.598,-30.762,66.406,0.000,0
1639024061.511,205.566,-187.500,-35.156,-19.531,0.000,0
1639024061.515,-1000.000,-254.883,-21.973,-127.441,0.000,0
1639024061.519,-592.285,-756.348,-9.766,-99.121,0.000,0
1639024061.523,672.363,-645.020,-26.367,19.043,0.000,0
1639024061.527,-911.621,241.211,-48.828,90.332,0.000,0
1639024061.531,451.660,181.641,-65.918,28.809,0.000,0
1639024061.525,-869.629,-431.641,-89.844,-116.699,0.000,0
1639024061.529,-665.527,-582.520,-79.102,-155.762,0.000,0
1639024061.534,639.160,-28.320,-29.297,-55.176,0.000,0
1639024061.538,-929.688,297.363,-7.324,50.293,0.000,0
1639024061.542,599.121,47.363,-3.906,28.809,0.000,0
1639024061.546,-673.340,-398.926,-20.020,-100.586,0.000,0
1639024061.550,-762.207,-619.629,-34.180,-151.855,0.000,0
1639024061.554,537.109,-406.738,-37.598,-36.621,0.000,0
1639024061.558,-951.660,-417.969,-48.340,101.074,0.000,0
1639024061.562,773.926,-75.195,-63.965,66.406,0.000,0
1639024061.566,-397.949,53.711,-52.734,-102.539,0.000,0
1639024061.570,-821.777,-413.574,-10.254,-165.039,0.000,0
1639024061.565,453.613,-203.613,-3.418,-70.312,0.000,0
1639024061.569,-954.590,420.410,-29.297,31.250,0.000,0
1639024061.573,851.562,463.867,-45.898,41.992,0.000,0
1639024061.577,-212.402,-158.203,-68.359,-48.828,0.000,0
1639024061.581,-858.887,-617.188,-62.012,-129.883,0.000,0
1639024061.585,334.473,-429.688,-43.457,-93.262,0.000,0
1639024061.589,-947.754,24.902,-31.250,24.902,0.000,0
1639024061.594,860.840,-271.973,-18.066,34.668,0.000,0
1639024061.598,-59.570,-769.043,-18.555,-72.754,0.000,0
1639024061.602,-790.527,-314.453,-37.109,-145.996,0.000,0
1639024061.606,254.395,-27.832,-49.316,-107.422,0.000,0
1639024061.610,-971.191,117.676,-29.785,7.324,0.000,0
1639024061.605,968.750,321.289,-25.391,45.898,0.000,0
1639024061.609,231.445,202.148,-30.273,-56.152,0.000,0
1639024061.613,-758.789,-236.816,-25.879,-143.066,0.000,0
1639024061.617,112.305,-323.242,-40.039,-101.562,0.000,0
1639024061.621,-983.887,157.715,-37.109,15.625,0.000,0
1639024061.625,998.535,242.188,-52.246,74.707,0.000,0
1639024061.629,311.035,-241.211,-74.219,-2.930,0.000,0
1639024061.634,-902.832,-875.488,-55.664,-105.469,0.000,0
1639024061.638,-150.879,-649.414,-39.062,-122.070,0.000,0
1639024061.642,986.328,248.047,-21.484,-14.160,0.000,0
1639024061.646,-987.305,295.898,-18.555,56.152,0.000,0
1639024061.650,370.117,-74.219,-20.996,-26.367,0.000,0
1639024061.646,-913.086,-197.754,-22.949,-144.043,0.000,0
1639024061.650,-416.992,-146.484,-49.316,-144.043,0.000,0
1639024061.654,853.027,-70.801,-81.055,6.348,0.000,0
1639024061.658,-941.406,119.141,-70.801,102.539,0.000,0
1639024061.662,476.562,186.035,-41.504,-6.836,0.000,0
1639024061.666,-820.801,-289.551,-17.578,-148.926,0.000,0
1639024061.670,-674.316,-838.867,-13.184,-144.043,0.000,0
1639024061.674,609.375,-650.391,-27.344,-35.156,0.000,0
1639024061.678,-920.410,316.895,-28.809,74.219,0.000,0
1639024061.682,576.172,317.383,-23.926,62.012,0.000,0
1639024061.686,-703.613,-383.301,-33.691,-70.312,0.000,0
1639024061.690,-797.363,-447.266,-49.805,-146.484,0.000,0
1639024061.686,471.680,97.168,-60.547,-46.387,0.000,0
1639024061.690,-915.527,358.887,-54.688,73.242,0.000,0
1639024061.694,596.680,87.891,-44.434,43.457,0.000,0
1639024061.698,-622.070,-141.113,-49.316,-60.547,0.000,0
1639024061.702,-970.215,-214.844,-30.273,-107.422,0.000,0
1639024061.706,215.820,-225.098,-11.719,-55.176,0.000,0
1639024061.710,-916.016,-521.973,-22.461,48.828,0.000,0
1639024061.714,680.176,-412.598,-39.062,26.855,0.000,0
1639024061.718,-510.254,-14.648,-40.527,-107.422,0.000,0
1639024061.722,-1000.000,-379.395,-37.109,-143.066,0.000,0
1639024061.726,75.684,-319.336,-59.082,-65.918,0.000,0
1639024061.730,-934.570,318.848,-63.965,30.273,0.000,0
1639024061.728,782.227,439.941,-38.086,55.176,0.000,0
1639024061.732,-339.355,-148.438,-46.875,-57.129,0.000,0
1639024061.736,-1000.000,-490.723,-68.848,-153.320,0.000,0
1639024061.740,-132.324,-94.238,-62.988,-113.281,0.000,0
1639024061.744,-986.816,311.523,-61.523,9.766,0.000,0
1639024061.748,818.848,5.371,-58.594,54.688,0.000,0
1639024061.752,-287.109,-433.594,-31.250,-43.945,0.000,0
1639024061.756,-1000.000,-315.918,-14.648,-133.301,0.000,0
1639024061.760,-236.816,-65.918,-43.945,-107.422,0.000,0
1639024061.764,946.289,-282.227,-41.016,18.555,0.000,0
1639024061.768,977.539,-226.074,-25.879,97.168,0.000,0
1639024061.772,50.293,153.809,-80.078,0.488,0.000,0
1639024061.771,-1000.000,-177.734,-82.031,-134.277,0.000,0
1639024061.775,-415.527,-342.773,-35.645,-131.836,0.000,0
1639024061.779,840.820,109.863,-22.949,10.254,0.000,0
1639024061.782,-957.031,444.824,-23.926,104.004,0.000,0
1639024061.786,195.312,12.207,-23.926,20.996,0.000,0
1639024061.790,-1000.000,-572.266,-48.828,-115.234,0.000,0
1639024061.794,-567.871,-616.699,-83.008,-140.137,0.000,0
1639024061.798,720.703,-182.129,-77.148,-20.508,0.000,0
1639024061.802,-969.727,19.043,-43.945,115.234,0.000,0
1639024061.806,525.879,-501.953,-55.664,59.082,0.000,0
1639024061.810,-524.902,-444.824,-74.219,-92.773,0.000,0
1639024061.814,-362.305,-62.500,-55.664,-114.746,0.000,0
1639024061.813,776.855,-38.086,-48.828,-21.973,0.000,0
1639024061.817,-931.641,169.922,-51.270,64.941,0.000,0
1639024061.821,551.758,331.055,-46.387,22.461,0.000,0
1639024061.825,-723.145,75.195,-59.570,-99.609,0.000,0
1639024061.829,-816.406,-334.473,-70.801,-130.371,0.000,0
1639024061.833,443.848,-365.234,-86.914,-9.766,0.000,0
1639024061.837,-919.434,106.445,-104.492,105.957,0.000,0
1639024061.841,643.555,230.957,-85.938,83.496,0.000,0
1639024061.844,-603.027,-540.039,-67.871,-38.086,0.000,0
1639024061.848,-874.023,-816.895,-69.824,-123.047,0.000,0
1639024061.852,377.441,47.852,-66.895,-36.133,0.000,0
1639024061.856,-929.688,414.551,-41.016,99.121,0.000,0
1639024061.856,716.797,174.805,-44.922,97.168,0.000,0
1639024061.859,-447.266,-41.504,-57.129,-15.137,0.000,0
1639024061.863,-1000.000,-137.207,-70.312,-100.586,0.000,0
1639024061.867,160.156,-44.922,-94.727,-58.594,0.000,0
1639024061.871,-972.656,83.008,-80.078,55.664,0.000,0
1639024061.875,603.027,19.531,-75.195,61.523,0.000,0
1639024061.879,-416.504,-266.113,-66.895,-26.367,0.000,0
1639024061.883,-1000.000,-609.375,-61.035,-99.609,0.000,0
1639024061.887,-175.293,-803.223,-78.613,-41.504,0.000,0
1639024061.891,994.141,-115.723,-73.242,83.496,0.000,0
1639024061.895,799.316,257.812,-49.316,86.426,0.000,0
1639024061.899,-301.270,-262.207,-55.176,-28.320,0.000,0
1639024061.898,-1000.000,-439.453,-79.590,-127.930,0.000,0
1639024061.902,-308.105,-75.195,-75.195,-73.242,0.000,0
1639024061.906,922.852,305.176,-48.828,70.801,0.000,0
1639024061.910,913.574,169.922,-45.410,109.863,0.000,0
1639024061.914,-183.594,-159.180,-66.895,-17.578,0.000,0
1639024061.918,-1000.000,-514.648,-76.172,-120.117,0.000,0
1639024061.922,-543.945,-455.566,-83.008,-91.309,0.000,0
1639024061.926,695.801,-536.621,-71.289,14.648,0.000,0
1639024061.929,-977.051,-505.371,-67.871,80.566,0.000,0
1639024061.933,-30.762,84.473,-64.453,-8.789,0.000,0
1639024061.937,-1000.000,-195.801,-68.359,-110.840,0.000,0
1639024061.941,-686.523,-454.590,-83.984,-105.957,0.000,0
1639024119.263,-125.000,-117.188,-35.645,-9.766,0.000,0
1639024119.267,-1000.000,-768.066,-32.715,-121.094,0.000,0
1639024119.271,-544.922,-754.883,-46.387,-105.957,0.000,0
1639024119.275,773.438,-52.246,-56.641,31.738,0.000,0
1639024119.278,-956.055,350.098,-40.039,107.422,0.000,0
1639024119.282,-82.031,-307.617,-33.691,26.855,0.000,0
1639024119.286,-1000.000,-991.699,-34.180,-95.703,0.000,0
1639024119.290,-691.895,-866.211,-21.484,-104.980,0.000,0
1639024119.294,572.266,-160.156,-26.367,39.062,0.000,0
1639024119.298,-843.262,456.543,-49.805,142.090,0.000,0
1639024119.301,119.141,136.719,-44.922,64.453,0.000,0
1639024119.305,-1000.000,-789.551,-38.574,-89.355,0.000,0
1639024119.310,-833.984,-912.109,-45.410,-145.508,0.000,0
1639024119.314,388.184,-137.695,-41.504,-26.367,0.000,0
1639024119.318,-820.312,503.418,-32.715,81.543,0.000,0
1639024119.322,215.820,325.195,-32.715,51.758,0.000,0
1639024119.326,-1000.000,-411.133,-33.203,-66.406,0.000,0
1639024119.330,-968.262,-883.789,-27.344,-118.652,0.000,0
1639024119.333,177.734,-551.758,-28.809,-9.766,0.000,0
1639024119.337,-821.289,57.617,-31.250,92.285,0.000,0
1639024119.341,329.590,225.586,-42.480,51.270,0.000,0
1639024119.345,-957.031,-390.137,-51.758,-89.844,0.000,0
1639024119.349,-1000.000,-829.102,-43.945,-150.879,0.000,0
1639024119.353,21.973,-202.637,-39.062,-50.781,0.000,0
1639024119.361,-840.332,500.977,-48.828,80.566,0.000,0
1639024119.365,456.543,455.566,-49.805,79.590,0.000,0
1639024119.369,-833.008,-202.637,-47.852,-48.828,0.000,0
1639024119.373,-1000.000,-597.656,-44.434,-131.348,0.000,0
1639024119.377,-105.469,-280.762,-59.082,-65.918,0.000,0
